request_id,name,price,image_uri
ff459966-6866-11ef-b2a7-32d5efdb1266,3m Espe Sof-Lex Spiral Wheels...,₹4550.00,https://dentalstall.com/wp-content/uploads/2023/03/web_3m_sof-lex-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3M Espe SS Crown Primary Mola...,₹620.00,https://dentalstall.com/wp-content/uploads/2023/03/3m-espe-ss-crown-pr-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3m Espe Stainless Steel Prima...,₹620.00,https://dentalstall.com/wp-content/uploads/2021/12/3m-Espe-Stainless-Steel-Primary-Crown-E-2nd-Molar.-3-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3m Espe Vitrebond Light Cure ...,₹2750.00,https://dentalstall.com/wp-content/uploads/2023/03/s-l300_1_5-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3M ESPE Vitrebond Plus Light ...,₹6900.00,https://dentalstall.com/wp-content/uploads/2023/04/3M-V0022__77402-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3m Espe Vps Tray Adhesive...,₹1495.00,https://dentalstall.com/wp-content/uploads/2023/03/vps_tray_adhesve_7307-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3M Unitek Alastik Bobbin Chai...,₹2790.00,https://dentalstall.com/wp-content/uploads/2021/12/3M-Unitek-Alastik-Bobbin-Chain-1-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3M Unitek AlastiK Easy-To-Tie...,₹3230.00,https://dentalstall.com/wp-content/uploads/2021/12/3M-Unitek-AlastiK-Easy-To-Tie-Ligature-Pack-Of-100-1-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3m Unitek Clarity Advanced Ce...,₹14350.00,https://dentalstall.com/wp-content/uploads/2021/12/3m_unitek_clarity_advanced_ceramic_brackets_1-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3m Unitek Forsus Fatigue Resi...,₹7750.00,https://dentalstall.com/wp-content/uploads/2021/12/3m-Unitek-Forsus-Fatigue-Resistant-Device-Ez2-Module-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3M Unitek Forsus Fatigue Resi...,₹6550.00,https://dentalstall.com/wp-content/uploads/2021/12/3m-Unitek-Forsus-Fatigue-Resistant-Device-L-Pin-Module.-1-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3m Unitek Gemini Metal Twin B...,₹3550.00,https://dentalstall.com/wp-content/uploads/2021/12/3m-Unitek-Gemini-Metal-Twin-Brackets-1.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3M Unitek Gemini Self Ligatin...,₹8180.00,https://dentalstall.com/wp-content/uploads/2021/12/3M-Unitek-Gemini-Self-Ligating-Metal-Bracket-MBT-022-5x5-1-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3M Unitek Transbond Plus Colo...,₹3340.00,https://dentalstall.com/wp-content/uploads/2021/12/3M-Unitek-Transbond-Plus-Colour-Change-Syringe-Refill-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3M Unitek Transbond XT Adhesi...,₹2800.00,https://dentalstall.com/wp-content/uploads/2021/12/3M-Unitek-Transbond-XT-Adhesive-Syringe-1-Syr-Pack.-300x300.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3m Unitek Unite Adhesive Syri...,₹9560.00,https://dentalstall.com/wp-content/uploads/2021/12/3m-Unitek-Unite-Adhesive-Syringe-1.jpg
ff459966-6866-11ef-b2a7-32d5efdb1266,3m Unitek Victory Series Twin...,₹5230.00,https://dentalstall.com/wp-content/uploads/2021/12/3m_unitek_victory_series_twin_brackets-300x300.jpg
